"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 19 00:48:46 GMT 2024","Fri Jan 19 00:48:47 GMT 2024","757","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"passed","Fri Jan 19 00:48:18 GMT 2024","Fri Jan 19 00:48:32 GMT 2024","13849","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:49:06 GMT 2024","Fri Jan 19 00:49:07 GMT 2024","1129","","","","","","Validate Council Output [StokeOnTrentCityCouncil-None-None]",""
"failed","Fri Jan 19 00:48:30 GMT 2024","Fri Jan 19 00:48:32 GMT 2024","2260","","","","","","Validate Council Output [LondonBoroughRedbridge-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:48 GMT 2024","Fri Jan 19 00:48:50 GMT 2024","1900","","","","","","Validate Council Output [SalfordCityCouncil-None-None]",""
"passed","Fri Jan 19 00:48:35 GMT 2024","Fri Jan 19 00:48:39 GMT 2024","3865","","","","","","Validate Council Output [ManchesterCityCouncil-None-None]",""
"failed","Fri Jan 19 00:48:17 GMT 2024","Fri Jan 19 00:48:17 GMT 2024","160","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:48 GMT 2024","Fri Jan 19 00:48:48 GMT 2024","701","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"passed","Fri Jan 19 00:48:47 GMT 2024","Fri Jan 19 00:48:51 GMT 2024","4352","","","","","","Validate Council Output [NorthTynesideCouncil-None-None]",""
"failed","Fri Jan 19 00:48:47 GMT 2024","Fri Jan 19 00:48:47 GMT 2024","180","","","","","","Validate Council Output [RushcliffeBoroughCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:57 GMT 2024","Fri Jan 19 00:49:02 GMT 2024","5312","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"failed","Fri Jan 19 00:48:47 GMT 2024","Fri Jan 19 00:48:47 GMT 2024","3","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:20 GMT 2024","Fri Jan 19 00:48:21 GMT 2024","1215","","","","","","Validate Council Output [EnvironmentFirst-None-None]",""
"passed","Fri Jan 19 00:48:29 GMT 2024","Fri Jan 19 00:48:39 GMT 2024","9786","","","","","","Validate Council Output [NewcastleCityCouncil-None-None]",""
"passed","Fri Jan 19 00:48:39 GMT 2024","Fri Jan 19 00:48:41 GMT 2024","2731","","","","","","Validate Council Output [NewportCityCouncil-None-None]",""
"passed","Fri Jan 19 00:48:18 GMT 2024","Fri Jan 19 00:48:19 GMT 2024","1484","","","","","","Validate Council Output [EastleighBoroughCouncil-None-None]",""
"passed","Fri Jan 19 00:49:19 GMT 2024","Fri Jan 19 00:49:20 GMT 2024","703","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"failed","Fri Jan 19 00:48:08 GMT 2024","Fri Jan 19 00:48:08 GMT 2024","2","","","","","","Validate Council Output [BrightonandHoveCityCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:21 GMT 2024","Fri Jan 19 00:48:39 GMT 2024","18453","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"failed","Fri Jan 19 00:49:00 GMT 2024","Fri Jan 19 00:51:10 GMT 2024","130279","","","","","","Validate Council Output [TamesideMBCouncil-None-None]",""
"passed","Fri Jan 19 00:48:20 GMT 2024","Fri Jan 19 00:48:25 GMT 2024","4787","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"failed","Fri Jan 19 00:48:36 GMT 2024","Fri Jan 19 00:48:36 GMT 2024","3","","","","","","Validate Council Output [GuildfordCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:28 GMT 2024","Fri Jan 19 00:48:28 GMT 2024","164","","","","","","Validate Council Output [NeathPortTalbotCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:17 GMT 2024","Fri Jan 19 00:48:19 GMT 2024","2201","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"passed","Fri Jan 19 00:48:37 GMT 2024","Fri Jan 19 00:48:43 GMT 2024","6073","","","","","","Validate Council Output [NorthKestevenDistrictCouncil-None-None]",""
"failed","Fri Jan 19 00:48:48 GMT 2024","Fri Jan 19 00:48:48 GMT 2024","664","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
